winner,weight_class,is_title_bout,gender,total_rounds,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
1,5,1,1,5.0,18,1,29.0,180.34,61.23,2,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,23,9,31.0,172.72,61.23,2,4.31,5.48,0.49,0.39,0.5,0.7,0.9,0.53,-5,-8,-2.0,7.620000000000003,0.0,3.3200000000000003,-1.9600000000000004,0.12,0.0299999999999999,0.12,-0.0799999999999999,-0.6000000000000001,-0.18
1,7,0,1,5.0,30,8,35.0,175.26,70.31,1,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,13,2,28.0,180.34,70.31,1,5.7,4.98,0.54,0.37,0.42,0.69,1.5,4.76,17,6,7.0,-5.0800000000000125,0.0,-0.25,-0.6200000000000001,-0.03,-0.01,0.11,-0.0599999999999999,-0.1,-3.43
0,8,0,1,3.0,25,11,31.0,190.5,77.11,0,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,22,2,36.0,190.5,77.11,2,3.14,1.6,0.69,0.25,0.55,0.66,0.0,0.77,3,9,-5.0,0.0,0.0,1.1,1.59,-0.1999999999999999,0.13,-0.05,-0.12,0.6,0.0799999999999999
0,8,0,1,3.0,22,7,37.0,177.8,77.11,0,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,17,2,27.0,180.34,77.11,2,6.74,4.27,0.53,0.16,0.66,0.7,0.2,0.21,5,5,10.0,-2.539999999999992,0.0,-3.45,-0.8499999999999996,-0.05,0.22,-0.12,-0.1999999999999999,0.3,2.03
1,5,0,1,3.0,17,5,31.0,170.18,61.23,2,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,21,8,26.0,172.72,61.23,0,4.49,3.96,0.43,0.4,0.55,0.72,0.2,0.66,-4,-3,5.0,-2.539999999999992,0.0,0.6499999999999995,0.4000000000000003,0.1,0.1099999999999999,0.0299999999999999,0.13,-0.1,1.0699999999999998
1,11,0,1,3.0,18,4,33.0,193.04,120.2,0,3.53,1.83,0.5,0.53,0.59,0.31,0.0,5.72,20,3,32.0,190.5,92.99,0,2.54,0.74,0.64,0.59,0.4,0.75,2.2,6.88,-2,1,1.0,2.539999999999992,27.210000000000008,0.9899999999999998,1.09,-0.14,-0.0599999999999999,0.1899999999999999,-0.44,-2.2,-1.16
0,1,0,0,3.0,18,6,35.0,175.26,56.7,0,4.58,4.48,0.34,0.15,0.62,0.5,0.3,0.31,14,2,25.0,165.1,56.7,2,4.7,2.9,0.53,0.43,0.54,0.53,0.1,1.44,4,4,10.0,10.159999999999997,0.0,-0.1200000000000001,1.5800000000000003,-0.19,-0.28,0.0799999999999999,-0.03,0.1999999999999999,-1.13
1,7,0,1,3.0,24,2,33.0,177.8,70.31,1,3.09,3.07,0.51,0.35,0.59,0.9,0.1,5.28,32,16,39.0,172.72,70.31,1,3.48,3.21,0.47,0.35,0.6,0.55,0.6,1.95,-8,-14,-6.0,5.0800000000000125,0.0,-0.3900000000000001,-0.1400000000000001,0.04,0.0,-0.01,0.35,-0.5,3.33
0,5,0,1,3.0,20,9,37.0,167.64,61.23,0,5.32,6.23,0.43,0.18,0.56,0.82,0.5,0.51,12,2,28.0,172.72,61.23,0,5.72,3.38,0.45,0.46,0.61,0.75,0.5,2.41,8,7,9.0,-5.0800000000000125,0.0,-0.3999999999999994,2.8500000000000005,-0.02,-0.28,-0.0499999999999999,0.0699999999999999,0.0,-1.9
0,10,0,1,3.0,17,10,30.0,185.42,92.99,1,4.44,3.43,0.43,0.57,0.47,0.76,0.0,4.17,18,5,38.0,187.96,92.99,0,3.8,3.59,0.49,0.33,0.46,1.0,0.0,1.65,-1,5,-8.0,-2.5400000000000205,0.0,0.6400000000000006,-0.1599999999999997,-0.06,0.2399999999999999,0.0099999999999999,-0.24,0.0,2.52
